"Fecha","ID_Tienda","Tipo_Tienda","Ventas_Totales_Tienda","Inflacion_IPC","Tasa_Desempleo","Diagnostico_Desempleo","Diagnostico_Inflacion"
"2010-02-05",1,A,1643690.9,211.0963582,8.106,Estrés Moderado,Inflación Alta
"2010-02-12",1,A,1641957.44,211.2421698,8.106,Estrés Moderado,Inflación Alta
"2010-02-19",1,A,1611968.17,211.2891429,8.106,Estrés Moderado,Inflación Alta
"2010-02-26",1,A,1409727.59,211.3196429,8.106,Estrés Moderado,Inflación Alta
"2010-03-05",1,A,1554806.68,211.3501429,8.106,Estrés Moderado,Inflación Alta
"2010-03-12",1,A,1439541.59,211.3806429,8.106,Estrés Moderado,Inflación Alta
"2010-03-19",1,A,1472515.79,211.215635,8.106,Estrés Moderado,Inflación Alta
"2010-03-26",1,A,1404429.92,211.0180424,8.106,Estrés Moderado,Inflación Alta
"2010-04-02",1,A,1594968.28,210.8204499,7.808,Estrés Moderado,Inflación Alta
"2010-04-09",1,A,1545418.53,210.6228574,7.808,Estrés Moderado,Inflación Alta
"2010-04-16",1,A,1466058.28,210.4887,7.808,Estrés Moderado,Inflación Alta
"2010-04-23",1,A,1391256.12,210.4391228,7.808,Estrés Moderado,Inflación Alta
"2010-04-30",1,A,1425100.71,210.3895456,7.808,Estrés Moderado,Inflación Alta
"2010-05-07",1,A,1603955.1199999999,210.3399684,7.808,Estrés Moderado,Inflación Alta
"2010-05-14",1,A,1494251.5,210.3374261,7.808,Estrés Moderado,Inflación Alta
"2010-05-21",1,A,1399662.07,210.6170934,7.808,Estrés Moderado,Inflación Alta
"2010-05-28",1,A,1432069.95,210.8967606,7.808,Estrés Moderado,Inflación Alta
"2010-06-04",1,A,1615524.71,211.1764278,7.808,Estrés Moderado,Inflación Alta
"2010-06-11",1,A,1542561.09,211.4560951,7.808,Estrés Moderado,Inflación Alta
"2010-06-18",1,A,1503284.06,211.4537719,7.808,Estrés Moderado,Inflación Alta
"2010-06-25",1,A,1422711.6,211.3386526,7.808,Estrés Moderado,Inflación Alta
"2010-07-02",1,A,1492418.14,211.2235333,7.787,Estrés Moderado,Inflación Alta
"2010-07-09",1,A,1546074.18,211.108414,7.787,Estrés Moderado,Inflación Alta
"2010-07-16",1,A,1448938.92,211.1003854,7.787,Estrés Moderado,Inflación Alta
"2010-07-23",1,A,1385065.2,211.2351443,7.787,Estrés Moderado,Inflación Alta
"2010-07-30",1,A,1371986.6,211.3699032,7.787,Estrés Moderado,Inflación Alta
"2010-08-06",1,A,1605491.78,211.5046621,7.787,Estrés Moderado,Inflación Alta
"2010-08-13",1,A,1508237.76,211.6394211,7.787,Estrés Moderado,Inflación Alta
"2010-08-20",1,A,1513080.49,211.6033633,7.787,Estrés Moderado,Inflación Alta
"2010-08-27",1,A,1449142.92,211.5673056,7.787,Estrés Moderado,Inflación Alta
"2010-09-03",1,A,1540163.53,211.5312479,7.787,Estrés Moderado,Inflación Alta
"2010-09-10",1,A,1507460.69,211.4951902,7.787,Estrés Moderado,Inflación Alta
"2010-09-17",1,A,1430378.67,211.5224596,7.787,Estrés Moderado,Inflación Alta
"2010-09-24",1,A,1351791.03,211.5972246,7.787,Estrés Moderado,Inflación Alta
"2010-10-01",1,A,1453329.5,211.6719895,7.838,Estrés Moderado,Inflación Alta
"2010-10-08",1,A,1508239.93,211.7467544,7.838,Estrés Moderado,Inflación Alta
"2010-10-15",1,A,1459409.1,211.8137436,7.838,Estrés Moderado,Inflación Alta
"2010-10-22",1,A,1345454.0,211.8612937,7.838,Estrés Moderado,Inflación Alta
"2010-10-29",1,A,1384209.22,211.9088438,7.838,Estrés Moderado,Inflación Alta
"2010-11-05",1,A,1551659.28,211.9563939,7.838,Estrés Moderado,Inflación Alta
"2010-11-12",1,A,1494479.49,212.003944,7.838,Estrés Moderado,Inflación Alta
"2010-11-19",1,A,1483784.18,211.8896737,7.838,Estrés Moderado,Inflación Alta
"2010-11-26",1,A,1955624.11,211.7484333,7.838,Estrés Moderado,Inflación Alta
"2010-12-03",1,A,1548033.78,211.607193,7.838,Estrés Moderado,Inflación Alta
"2010-12-10",1,A,1682614.26,211.4659526,7.838,Estrés Moderado,Inflación Alta
"2010-12-17",1,A,1891034.93,211.4053124,7.838,Estrés Moderado,Inflación Alta
"2010-12-24",1,A,2387950.2,211.4051222,7.838,Estrés Moderado,Inflación Alta
"2010-12-31",1,A,1367320.01,211.4049321,7.838,Estrés Moderado,Inflación Alta
"2011-01-07",1,A,1444732.28,211.4047419,7.742,Estrés Moderado,Inflación Alta
"2011-01-14",1,A,1391013.96,211.4574109,7.742,Estrés Moderado,Inflación Alta
